index,item,IPIP100,BFAS,HEXACO,QB6,MPQ,IPIPneo
q_6,Accept people as they are.,NULL,NULL,H:A:G,NULL,NULL,NULL
q_22,Act impulsively when something is bothering me.,NULL,NULL,H:C:PR,NULL,NULL,NULL
q_23,Act like different people in different situations.,NULL,NULL,H:H:S,NULL,NULL,NULL
q_39,Adjust easily.,NULL,NULL,H:A:FL,NULL,NULL,NULL
q_40,Admire a really clever scam.,NULL,NULL,H:H:F,NULL,NULL,NULL
q_44,Always know what I am doing.,NULL,BFAS:C:I,NULL,NULL,MPQ:UV,NULL
q_52,Am a person whose moods go up and down easily.,NULL,BFAS:N:V,NULL,NULL,NULL,NULL
q_53,Am a physical coward.,NULL,NULL,H:E:F,NULL,NULL,NULL
q_55,Am a very private person.,B5:E,NULL,NULL,QB6:X,NULL,NULL
q_66,Am afraid of many things.,NULL,BFAS:N:W,NULL,QB6:ES,NULL,N1:ANX
q_76,Am always prepared.,B5:C,NULL,NULL,NULL,MPQ:UV,C5:SD
q_80,Am annoyed by others' mistakes.,NULL,NULL,H:A:FL,NULL,NULL,NULL
q_94,Am considered to be kind of eccentric.,NULL,NULL,H:O:U,NULL,NULL,NULL
q_98,Am deeply moved by others' misfortunes.,NULL,NULL,H:E:S,NULL,NULL,NULL
q_101,Am easily annoyed.,NULL,NULL,H:A:P,NULL,NULL,NULL
q_105,Am easily discouraged.,NULL,BFAS:N:W,NULL,NULL,NULL,NULL
q_107,Am easily distracted.,NULL,BFAS:C:I,NULL,NULL,NULL,NULL
q_108,Am easily disturbed.,B5:ES,NULL,NULL,NULL,NULL,NULL
q_124,Am exacting in my work.,B5:C,NULL,H:C:D,NULL,MPQ:CO,NULL
q_126,Am filled with doubts about things.,NULL,BFAS:N:W,NULL,NULL,MPQ:SR,NULL
q_128,Am full of ideas.,B5:O,NULL,H:O:C,NULL,NULL,NULL
q_131,Am good at making impromptu speeches.,NULL,NULL,H:X:SB,NULL,MPQ:SP,NULL
q_132,Am good at many things.,B5:O,NULL,NULL,NULL,NULL,NULL
q_134,Am good at taking advice.,NULL,NULL,H:A:FL,NULL,NULL,NULL
q_139,Am hard to convince.,NULL,NULL,H:A:FL,NULL,NULL,NULL
