instrument,alpha,key,text,label
16PF,0.78,1,Accept apologies easily.,Gregariousness
16PF,0.8,1,Accept challenging tasks.,Anxiety
16PF,0.76,1,Accept challenging tasks.,Emotionality
16PF,0.85,-1,Accept others' weaknesses.,Emotional Stability
16PF,0.8,1,Accept people as they are.,Anxiety
16PF,0.76,1,Accept people as they are.,Emotionality
16PF,0.81,1,Accept people as they are.,Orderliness
16PF,0.86,1,Accept people as they are.,Reserve
16PF,0.81,1,Accept people as they are.,Dominance
16PF,0.81,1,Accomplish a lot of work.,Assertiveness
16PF,0.81,-1,Accomplish a lot of work.,Orderliness
16PF,0.81,-1,Accomplish a lot of work.,Orderliness
16PF,0.76,-1,Accomplish a lot of work.,Emotionality
16PF,0.8,-1,Accomplish my work on time.,Anxiety
16PF,0.85,1,Acknowledge others' accomplishments.,Emotional Stability
16PF,0.82,-1,Acknowledge others' accomplishments.,Complexity
16PF,0.82,-1,Act according to my conscience.,Complexity
16PF,0.8,-1,Act according to my conscience.,Warmth
16PF,0.86,-1,Act at the expense of others.,Reserve
16PF,0.86,-1,Act at the expense of others.,Reserve
16PF,0.76,1,Act before thinking through the consequences.,Emotionality
16PF,0.8,-1,Act comfortably with others.,Friendliness
16PF,0.85,1,Act comfortably with others.,Emotional Stability
16PF,0.78,-1,Act comfortably with others.,Gregariousness
16PF,0.78,1,Act comfortably with others.,Gregariousness
16PF,0.8,1,Act comfortably with others.,Distrust
16PF,0.86,-1,Act impulsively when something is bothering me.,Reserve
16PF,0.78,1,Act in a play.,Gregariousness
16PF,0.82,-1,Act like different people in different situations.,Complexity
16PF,0.84,1,Act quickly without thinking.,Dutifulness
16PF,0.82,1,Act quickly without thinking.,Complexity
16PF,0.84,1,Act wild and crazy.,Dutifulness
16PF,0.8,-1,Act wild and crazy.,Distrust
16PF,0.8,-1,Act wild and crazy.,Distrust
16PF,0.8,1,Act wild and crazy.,Distrust
16PF,0.8,1,Act wild and crazy.,Distrust
16PF,0.86,1,Act wild and crazy.,Reserve
16PF,0.84,-1,Act wild and crazy.,Dutifulness
16PF,0.81,1,Act wild and crazy.,Dominance
16PF,0.81,1,Act without consulting others.,Assertiveness
16PF,0.73,-1,Act without planning.,Introversion
16PF,0.76,1,Act without planning.,Emotionality
16PF,0.82,1,Act without planning.,Complexity
16PF,0.8,1,Act without thinking.,Warmth
16PF,0.76,-1,Acted in a play.,Intellect
16PF,0.81,1,Adapt easily to new situations.,Orderliness
16PF,0.76,1,Adapt easily to new situations.,Intellect
16PF,0.73,1,Adapt easily to new situations.,Sensitivity
16PF,0.86,-1,Adjust easily.,Reserve
16PF,0.78,-1,Admire a really clever scam.,Gregariousness
16PF,0.85,-1,Admit when I am wrong.,Emotional Stability
16PF,0.73,-1,Agree to anything.,Sensitivity
16PF,0.8,1,Allow others to make a fresh start.,Distrust
16PF,0.73,-1,Always admit it when I make a mistake.,Sensitivity
16PF,0.73,-1,Always admit it when I make a mistake.,Sensitivity
16PF,0.8,-1,Always know what I am doing.,Imagination
16PF,0.8,1,Always know what I am doing.,Imagination
16PF,0.8,1,Always know why I do things.,Imagination
16PF,0.8,-1,Always know why I do things.,Anxiety
16PF,0.73,1,Always know why I do things.,Sensitivity
16PF,0.78,-1,Always know why I do things.,Gregariousness
16PF,0.8,-1,Am a bad loser.,Warmth
16PF,0.8,1,Am a bad loser.,Friendliness
16PF,0.73,1,Am a brave person.,Introversion
16PF,0.86,1,Am a cold-hearted person.,Reserve
16PF,0.8,-1,Am a creature of habit.,Anxiety
16PF,0.73,-1,Am a creature of habit.,Introversion
16PF,0.78,1,Am a firm believer in thinking things through.,Gregariousness
16PF,0.8,1,Am a firm believer in thinking things through.,Warmth
16PF,0.73,1,Am a goal-oriented person.,Sensitivity
16PF,0.82,1,Am a good listener.,Complexity
16PF,0.73,1,Am a hard worker.,Introversion
16PF,0.73,1,Am a highly disciplined person.,Introversion
16PF,0.73,1,Am a law-abiding citizen.,Introversion
16PF,0.73,-1,Am a person whose moods go up and down easily.,Introversion
16PF,0.8,1,Am a person whose moods go up and down easily.,Imagination
16PF,0.8,1,Am a person whose moods go up and down easily.,Friendliness
16PF,0.85,1,Am a physical coward.,Emotional Stability
16PF,0.8,1,Am a physical coward.,Anxiety
16PF,0.85,-1,Am a spiritual person.,Emotional Stability
16PF,0.8,1,Am a strange person.,Anxiety
16PF,0.8,1,Am a true life-long learner.,Warmth
16PF,0.8,1,Am a very private person,Anxiety
16PF,0.8,-1,Am a very private person.,Friendliness
16PF,0.8,1,Am a very private person.,Distrust
16PF,0.76,1,Am a very private person.,Emotionality
16PF,0.81,1,Am a very reliable person.,Orderliness
16PF,0.76,-1,"Am a workaholic, with little time for fun or pleasure.",Intellect
16PF,0.76,1,Am able to come up with new and different ideas.,Emotionality
16PF,0.76,-1,Am able to control my cravings.,Emotionality
16PF,0.76,-1,Am able to control my cravings.,Intellect
16PF,0.85,-1,Am able to control my cravings.,Emotional Stability
16PF,0.8,-1,Am able to cooperate with others.,Friendliness
16PF,0.78,1,Am able to describe my feelings easily.,Gregariousness
16PF,0.76,1,Am able to find out things by myself.,Emotionality
16PF,0.8,-1,Am able to fit into any situation.,Friendliness
16PF,0.86,1,Am able to read the minds of others.,Reserve
16PF,0.8,1,Am able to stand up for myself.,Warmth
16PF,0.84,-1,Am afraid of heights.,Dutifulness
16PF,0.76,-1,Am afraid of large dogs.,Intellect
16PF,0.76,1,Am afraid of many things.,Intellect
16PF,0.76,1,Am afraid of many things.,Intellect
16PF,0.81,-1,Am afraid of many things.,Orderliness
16PF,0.81,-1,Am afraid of many things.,Orderliness
16PF,0.81,-1,Am afraid that I will do the wrong thing.,Dominance
16PF,0.81,-1,Am afraid that I will do the wrong thing.,Assertiveness
16PF,0.81,-1,Am afraid that I will do the wrong thing.,Dominance
16PF,0.81,-1,Am afraid that I will do the wrong thing.,Assertiveness
16PF,0.81,1,Am afraid that I will do the wrong thing.,Orderliness
16PF,0.8,1,Am afraid that I will do the wrong thing.,Imagination
16PF,0.73,1,Am afraid that my life will be cut short by illness.,Sensitivity
16PF,0.84,1,Am afraid to draw attention to myself.,Dutifulness
16PF,0.73,1,Am afraid to draw attention to myself.,Sensitivity
16PF,0.78,1,Am afraid to draw attention to myself.,Gregariousness
16PF,0.8,1,Am always busy with something interesting.,Imagination
16PF,0.82,1,Am always busy.,Complexity
16PF,0.8,1,Am always busy.,Friendliness
16PF,0.76,1,Am always busy.,Intellect
16PF,0.8,1,Am always in the same mood.,Warmth
16PF,0.81,-1,Am always on the go.,Dominance
16PF,0.81,-1,Am always on the go.,Assertiveness
16PF,0.85,-1,Am always prepared.,Emotional Stability
16PF,0.8,-1,Am always prepared.,Friendliness
16PF,0.84,-1,Am always prepared.,Dutifulness
16PF,0.73,1,Am always prepared.,Introversion
16PF,0.82,1,Am always prepared.,Complexity
16PF,0.81,-1,Am always ready to start afresh.,Orderliness
16PF,0.82,-1,Am always worried about something.,Complexity
